TeD,TrD1,TrD2,TrD3,TrD4,TrD5,TrD6,TrD7,TrD8,model,score,Sum
TeD5,0,1,1,0,0,1,0,0,M3,0.0470154491851154,3
TeD5,1,0,1,1,1,1,0,0,M3,0.0592320200648222,5
TeD5,0,1,0,0,1,1,0,0,M3,0.0529326564840629,3
TeD5,0,1,0,0,0,1,1,0,M3,0.0490714942600204,3
TeD5,1,0,1,1,0,0,1,1,M3,0.0581930169161813,5
TeD5,1,1,0,1,0,1,1,1,M3,0.0541393262907871,6
TeD5,1,1,0,0,1,1,0,0,M3,0.0505034127675533,4
TeD5,0,0,1,0,1,0,0,0,M3,0.0565825822627193,2
TeD5,0,0,0,1,1,0,0,1,M3,0.0559504669393519,3
TeD5,0,1,1,0,0,0,0,1,M3,0.0549926251937627,3
TeD5,1,1,1,1,1,1,1,0,M3,0.0555431675397191,7
TeD5,0,1,0,0,0,1,1,1,M3,0.0559372653172807,4
TeD5,0,0,0,0,1,0,0,1,M3,0.0580753833851852,2
TeD5,1,0,1,1,0,0,0,0,M3,0.0482729624812714,3
TeD5,1,0,1,1,0,1,1,1,M3,0.057631920704747,6
TeD5,1,1,0,1,0,0,0,0,M3,0.0436843330048745,3
TeD5,0,1,0,1,0,0,0,0,M3,0.0397915844189907,2
TeD5,1,1,0,0,0,0,0,1,M3,0.0526545128514059,3
TeD5,0,0,1,1,1,0,1,1,M3,0.0540559311769285,5
TeD5,0,0,1,0,0,0,1,0,M3,0.05189104719683,2
TeD5,1,1,1,1,1,1,1,1,M3,0.0578075129504766,8
TeD5,1,1,1,1,1,1,1,1,M3,0.0524373108976706,8
TeD5,1,1,1,1,1,1,1,1,M3,0.0557981005533055,8
TeD5,1,1,1,1,1,1,1,1,M3,0.057534318339531,8
TeD5,1,1,1,1,1,1,1,1,M3,0.0539238789373871,8
TeD6,1,1,0,0,0,1,0,0,M3,0.57508446840987,3
TeD6,1,1,1,0,1,1,1,0,M3,0.644876911729353,6
TeD6,0,1,1,0,0,0,0,0,M3,0.480151584429655,2
TeD6,0,0,1,0,0,0,0,1,M3,0.606320537373466,2
TeD6,0,1,0,1,1,1,1,1,M3,0.700384916993662,6
TeD6,1,0,1,0,0,1,0,0,M3,0.655877666072125,3
TeD6,1,0,1,1,1,1,0,1,M3,0.670916737329158,6
TeD6,1,1,1,0,1,1,0,1,M3,0.660596614108906,6
